999
query_size	query_processing_time	accumulated_query_processing_time	fetching_time	results_size	active_nodes_size
1	693	693	0	0.0	1.0
2	164	857	0	0.0	1.0
3	125	982	0	0.0	1.0
4	356028	357010	0	0.0	876.9
5	235017	592027	54542	8367.6	567.5
6	91630	683657	0	0.0	216.7
7	30928	714585	0	0.0	65.0
8	9815	724400	0	0.0	17.5
9	3450	727850	9447	32.2	6.2
10	1918	729768	0	0.0	2.5
11	1060	730828	0	0.0	1.3
12	548	731376	0	0.0	0.7
13	346	731722	4995	1.4	0.4
14	273	731995	0	0.0	0.2
15	183	732178	0	0.0	0.1
16	146	732324	0	0.0	0.1
17	127	732451	4050	0.3	0.0
