superior products	0
5	1811221	3804055	5749408	720440	5435
6	2847776	6651831	0	0	736
7	726025	7377856	0	0	432
8	1883047	9260903	0	0	147
9	600475	9861378	315024	7560	26
10	101240	9962618	0	0	3
11	3208	9965826	0	0	3
12	1872	9967698	0	0	2
13	1161	9968859	495657	5	1
14	2721	9971580	0	0	1
15	955	9972535	0	0	1
16	1083	9973618	0	0	1
17	852	9974470	197940	3	1
stxipe and seal i	11
1	1008	1008	0	0	1
2	242	1250	0	0	1
3	274	1524	0	0	1
4	3584419	3585943	0	0	7975
5	3285029	6870972	13246595	576856	3114
6	1163835	8034807	0	0	2177
7	445818	8480625	0	0	979
8	318351	8798976	0	0	398
9	183261	8982237	54356	2634	303
10	155036	9137273	0	0	260
11	164067	9301340	0	0	252
12	91998	9393338	0	0	117
13	37164	9430502	18494	32	17
14	7871	9438373	0	0	6
15	2999	9441372	0	0	4
16	2784	9444156	0	0	3
17	1236	9445392	6885	3	2
alaska computer h	12
1	922	922	0	0	1
2	197	1119	0	0	1
3	145	1264	0	0	1
4	7029766	7031030	0	0	8973
5	9373210	16404240	10525766	953009	5874
6	3383785	19788025	0	0	6426
7	2330469	22118494	0	0	3621
8	2032004	24150498	0	0	1311
9	1076755	25227253	124516	7449	859
10	1603888	26831141	0	0	270
11	569641	27400782	0	0	174
12	157050	27557832	0	0	111
13	109773	27667605	154418	239	77
14	37941	27705546	0	0	63
15	28885	27734431	0	0	62
16	27693	27762124	0	0	43
17	20666	27782790	105823	5	2
xakeshore xotox i	13
1	1095	1095	0	0	1
2	244	1339	0	0	1
3	233	1572	0	0	1
4	3331816	3333388	0	0	7580
5	4250098	7583486	20950870	1102789	9035
6	5428369	13011855	0	0	2660
7	1597322	14609177	0	0	1377
8	1117345	15726522	0	0	400
9	389144	16115666	55429	2643	135
10	93534	16209200	0	0	63
11	433711	16642911	0	0	6
12	10644	16653555	0	0	14
13	18602	16672157	26289	306	47
14	16482	16688639	0	0	15
15	4776	16693415	0	0	2
16	1348	16694763	0	0	1
17	1276	16696039	7667	1	1
kakxxvik pxesbyte	14
1	711	711	0	0	1
2	162	873	0	0	1
3	135	1008	0	0	1
4	3350195	3351203	0	0	2207
5	8677200	12028403	679353	125513	1007
6	1022534	13050937	0	0	303
7	89475	13140412	0	0	133
8	26497	13166909	0	0	10
9	27897	13194806	126456	12	8
10	5490	13200296	0	0	2
11	1227	13201523	0	0	1
12	1681	13203204	0	0	1
13	998	13204202	824693	1	1
