branch_size	number_of_branches
1	67
2	2764
3	35772
4	32480
5	44665
6	56763
7	87521
8	127278
9	179276
10	219673
11	298981
12	341290
13	408046
14	472062
15	517892
16	537568
17	542338
18	563328
19	568847
20	547325
21	506028
22	482540
23	462006
24	445952
25	458554
26	412869
27	428533
28	420660
29	416595
30	436685
31	96184
32	94287
33	3179
34	2775
35	114
36	78
37	42
38	34
39	24
40	18
41	5
42	6
43	5
44	5
45	3
46	2
48	1
